cnpjcpf,serie,fabricante,descri,familia,isolante,tipo,tipo_sigla,potencia,potencia_a,potencia_b,potencia_un,impedancia,impedancia_a,impedancia_b,tensao,tensao_a,tensao_b,tensao_un,corrente,corrente_a,corrente_b,fases,lote,ano,volume,drenos,regional,subestacao,subestacao_sigla,status,energ,tag,local
33050196000188,35794,ITEL,CIA 29,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,Araraquara,Bebedouro,BEB,1,1985-03-01,RT 000029,CPFL NORDESTE
33050196000188,35795,ITEL,CIA 30,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,Campinas,Ipe,IPE,1,2001-01-01,RT 000030,SE: IPE PMO: AMERICANA - CPFL SUDESTE
33050196000188,37061,ITEL,CIA 32,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,S.J.R.Preto,Mirassol,MIR,1,1985-08-01,RT 000032,S.E.:MIR - PMO: S.J.R.PRETO SUL
33050196000188,37060,ITEL,CIA 33,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Campinas,Lindoia,LDO,1,1985-08-01,RT 000033,S.E.: LDO - ITAPIRA
33050196000188,37059,ITEL,CIA 34,IT0205  S,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,S.J.R.Preto,Primavera,PVE,1,1986-01-01,RT 000034,SE: GVT - BOTUCATU
33050196000188,37063,ITEL,CIA 35,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4800,0.4800,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Bauru,Sao Manoel,SAM,1,1985-08-01,RT 000035,
33050196000188,37062,ITEL,CIA 36,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4800,0.4800,0.3700,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Bauru,Auxiliadora,AUX,1,1985-10-01,RT 000036,SE: AUX
33050196000188,38644,ITEL,CIA 37,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4600,0.4600,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Ribeirao Preto,Ribeirao Preto,RIB,1,1986-08-01,RT 000037,S.E.:RIB-PMO: RIBEIRÃO PRETO
33050196000188,38645,ITEL,CIA 38,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4600,0.4600,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Campinas,Amparo,AMP,1,1986-08-01,RT 000038,S.E.: AMP - PMO: ITAPIRA 
33050196000188,5100560,GE,CIA 39,GE0204  N,Óleo Mineral,Regulador,REG,2.6670,2.6670,2.6670,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1283.0000,1283.0000,1116.0000,3,,73,6056,,,,,1,1993-02-11,RT 000039,
